Beam center : 0 0 2 mm
Beam power  : 10 W
Beam waist  : 0.3 mm (radius at the intensity of 1/e^2)
RayleighLength : 1157.94 mm (M^2==1)
Peak intensity : 70.7355 W/mm^2
Time duration : -1.79769e+308 - 1.79769e+308 s
Detuning : 0 [rad/s] (0 [Hz])
Beam center : 0 0 3 mm
Beam center timing : 2e-06 s
Beam energy  : 0.1 J
Beam waist  : 2 mm (radius at the intensity of 1/e^2)
Beam duration : 2e-09 s (FWHM), 8.49322e-10 s (sigma)
RayleighLength : 35398.2 mm (M^2==1)
Peak power : 4.69719e+07 W
Peak intensity at the waist : 7.4758e+06 W/mm^2
Rho 0.622194 0 0 0 0
Rho 0.552403 2.03991e-05 1.38731e-05 1.10171e-09 5.42119e-14
Rho 0.555856 2.87607e-20 3.73336e-20 3.99629e-39 -8.60911e-49
Rho 0.511487 -1.50131e-52 1.67003e-53 4.46263e-104 -1.22575e-145
Rho 0.556381 0 0 0 0
Rho 0.740319 8.0594e-05 0.000101185 2.26036e-08 4.22191e-07
Rho 0.994392 3.91208e-121 5.09471e-119 2.6104e-237 0
Rho 1 0 0 0 0
Rho 0.503018 0 0 0 0
Rho 1 0 0 0 0
Rho 0.560556 -5.25333e-20 3.50814e-21 4.95266e-39 -7.52605e-48
Rho 0.831361 1.61107e-106 1.04496e-106 4.43303e-212 -6.34474e-214
Rho 0.601073 0 0 0 0
Rho 0.545299 0 0 0 0
Rho 0.572448 -1.19525e-55 -2.2879e-55 1.12521e-109 -1.31688e-110
Rho 0.416783 -1.90556e-32 8.35591e-33 1.03876e-63 3.75726e-72
Rho 1 0 0 0 0
Rho 0.570938 0 0 0 0
Rho 0.513555 -5.96584e-44 3.65652e-44 9.46924e-87 1.43224e-129
Rho 1 0 0 0 0
Rho 0.653612 0 0 0 0
Rho 1 0 0 0 0
Rho 0.823568 0 0 0 0
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 0.612128 0 0 0 0
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 0.516958 0 0 0 0
Rho 1 0 0 0 0
Rho 0.621849 2.90084e-215 1.36405e-210 0 0
Rho 0.592122 0.000471783 -0.000228857 4.64355e-07 1.81093e-07
Rho 0.485796 3.39578e-13 3.36872e-13 4.7098e-25 4.61494e-37
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 0.451513 -2.52231e-09 -6.52953e-09 1.08517e-16 5.09645e-15
Rho 0.467511 0 0 0 0
Rho 0.642113 0 0 0 0
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 1 0 0 0 0
Rho 0.435813 0 0 0 0
Rho 0.643809 0 0 0 0
Rho 1 0 0 0 0
Rho 0.433375 0 0 0 0
Rho 0.545572 0 0 0 0
Rho 1 0 0 0 0
Rho 0.555069 9.61782e-106 -8.25851e-106 2.92531e-210 2.42019e-213
Rho 0.525293 -5.47481e-14 -4.0304e-14 8.78899e-27 1.24657e-39
Rho 0.542555 0 0 0 0
Rho 1 0 0 0 0
Rho 0.647205 0 0 0 0
Rho 0.612267 0 0 0 0
Rho 0.572331 -1.12699e-15 6.4629e-15 7.52144e-29 9.60788e-43
Rho 0.748403 7.09099e-132 2.45089e-130 8.03294e-260 1.49283e-271
Rho 0.864617 0 0 0 0
Rho 0.607729 0 0 0 0
Rho 0.638869 0 0 0 0
Rho 0.443407 0 0 0 0
Rho 0.453469 -1.80162e-84 1.03182e-84 9.87415e-168 1.73652e-191
Rho 1 0 0 0 0
Rho 0.908521 1.90908e-60 3.41369e-58 1.28956e-115 6.22657e-144
Rho 0.496475 3.60622e-228 1.8729e-228 0 0
Rho 0.389796 0 0 0 0
Rho 0.646953 0 0 0 0
Rho 0.519056 0 0 0 0
Rho 0.563384 -3.89521e-228 -1.34782e-228 0 0
Rho 0.629941 0 0 0 0
Rho 0.551133 0 0 0 0
Rho 1 0 0 0 0
